name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Hansraj College Delhi,New Delhi,Delhi,Government,1948,111.0,A+,97,698.0,2.1,63967.0,122345,True,86.7,8.96,25.57,169,2439.8,False,True,True,True,True,True,51.8,CUET,1500,78,Low (<1L),North,5,5
Miranda House Delhi,New Delhi,Delhi,Government,1948,60.0,A++,178,532.0,2.3,89381.0,34244,True,69.2,8.18,43.61,136,2342.0,True,True,True,False,False,True,11.6,CUET,1200,78,Low (<1L),North,4,6
National Institute of Design Ahmedabad,Ahmedabad,Gujarat,Government,1961,58.0,A++,40,848.0,0.2,36802.0,145939,True,74.5,13.82,51.54,520,1972.9,True,True,False,True,False,False,41.3,NID DAT,200,65,Low (<1L),West,3,6
National Institute of Fashion Technology Delhi,New Delhi,Delhi,Government,1986,,A+,125,143.0,2.8,27203.0,74295,True,78.7,11.14,46.67,198,1520.3,True,True,True,True,True,True,31.5,NIFT,400,40,Low (<1L),North,6,5
School of Planning and Architecture Delhi,New Delhi,Delhi,Government,1941,92.0,A+,35,677.0,0.3,44843.0,108671,False,76.0,5.97,19.25,514,2110.2,False,True,True,False,False,True,23.0,NATA/JEE,200,85,Low (<1L),North,3,5
IIT Bombay IDC School of Design,Mumbai,Maharashtra,Government,1969,27.0,A++,165,927.0,0.1,232575.0,117486,True,86.4,27.37,145.84,262,1386.2,True,True,False,True,True,True,59.2,CEED,100,57,Medium (1-5L),West,5,6
Srishti Manipal Institute of Art,Bangalore,Karnataka,Private,1996,170.0,A,96,608.0,0.8,328271.0,56465,True,64.9,5.32,28.83,98,222.1,True,True,True,True,True,True,39.8,SUAT,500,30,Medium (1-5L),South,6,4
College of Engineering Pune,Pune,Maharashtra,Government,1854,80.0,A+,118,644.0,1.9,65206.0,115824,True,76.2,11.09,29.18,177,1547.5,True,False,True,True,True,False,48.3,MHT CET,1200,172,Low (<1L),West,4,5
PEC Chandigarh,Chandigarh,Chandigarh,Government,1921,127.0,A+,63,262.0,3.1,73079.0,131453,True,84.0,7.69,30.44,482,532.4,True,True,True,True,True,True,58.0,JEE Main,800,105,Low (<1L),North,6,5
Netaji Subhas University of Technology,New Delhi,Delhi,Government,1983,141.0,A+,189,333.0,3.0,41097.0,65910,True,73.5,9.64,37.49,61,608.6,True,True,True,True,True,True,35.2,JEE Main,1000,43,Low (<1L),North,6,5
Delhi Technological University,New Delhi,Delhi,Government,1941,46.0,A++,168,434.0,2.8,254551.0,130607,False,71.30000000000001,22.9,67.85,38,563.3,False,False,True,True,True,False,43.4,JEE Main,1200,85,Medium (1-5L),North,3,6
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,Deemed,1998,144.0,A++,85,768.0,0.8,461307.0,109829,True,57.9,7.95,33.28,362,2154.4,True,True,True,False,True,False,19.8,JEE Main,600,28,Medium (1-5L),South,4,6
Institute of Chemical Technology Mumbai,Mumbai,Maharashtra,Deemed,1933,138.0,A++,178,1174.0,0.4,521232.0,104978,True,72.8,5.73,28.63,517,2266.8,False,True,True,True,False,False,47.7,MHT CET,500,93,High (>5L),West,3,6
Birla Vishvakarma Mahavidyalaya,Anand,Gujarat,Autonomous,1948,90.0,A+,99,941.0,0.9,221556.0,41704,True,51.7,4.34,24.09,410,655.1,False,False,False,False,False,True,22.0,ACPC,800,78,Medium (1-5L),West,1,5
VJTI Mumbai,Mumbai,Maharashtra,Government,1887,,A+,51,1017.0,0.8,34762.0,48004,True,87.8,8.43,50.2,353,2156.7,True,True,True,False,False,True,14.3,MHT CET,800,139,Low (<1L),West,4,5
Sardar Vallabhbhai National Institute of Technology Surat,Surat,Gujarat,Government,1961,61.0,A+,97,108.0,8.3,77573.0,80242,True,65.1,10.34,52.29,573,480.5,False,True,True,True,False,True,48.0,JEE Main,900,65,Low (<1L),West,4,5
Malaviya National Institute of Technology Jaipur,Jaipur,Rajasthan,Government,1963,,A+,118,417.0,2.0,32536.0,74922,True,87.9,9.9,50.74,49,574.9,False,True,True,False,False,True,51.4,JEE Main,850,63,Low (<1L),North,3,5
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,Government,1963,277.0,A,112,989.0,0.8,12085.0,115664,True,65.1,3.24,9.41,156,1370.5,False,True,False,True,False,False,34.3,JEE Main,750,63,Low (<1L),North,2,4
National Institute of Technology Meghalaya,Shillong,Meghalaya,Government,2010,240.0,B++,148,618.0,0.5,23527.0,44943,True,63.5,5.49,25.43,236,898.0,True,False,False,True,True,True,29.9,JEE Main,300,16,Low (<1L),Northeast,4,3
Indian Institute of Engineering Science and Technology,Howrah,West Bengal,Government,1856,42.0,A+,89,160.0,6.2,53800.0,64619,True,75.7,6.0,18.67,398,2005.0,True,False,True,False,False,False,23.3,WBJEE,1000,170,Low (<1L),East,2,5
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,Deemed,2003,44.0,A++,191,869.0,3.5,245876.0,44920,False,61.2,9.76,33.69,519,2000.7,True,True,True,False,False,False,46.1,AEEE,3000,23,Medium (1-5L),South,3,6
Hindustan Institute of Technology,Chennai,Tamil Nadu,Deemed,1985,234.0,A,31,174.0,10.3,344269.0,93318,True,75.8,4.23,16.66,297,1639.2,True,True,True,True,True,True,2.8,HITSEEE,1800,41,Medium (1-5L),South,6,4
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,Deemed,1987,88.0,A+,72,1118.0,2.2,344269.0,94441,False,59.0,5.65,19.63,593,1610.1,True,True,False,True,True,True,29.4,Own Entrance,2500,39,Medium (1-5L),South,5,5
Koneru Lakshmaiah Education Foundation,Guntur,Andhra Pradesh,Deemed,1980,106.0,A++,28,824.0,2.4,416515.0,103706,True,55.8,7.86,45.79,258,2111.6,True,True,True,True,True,True,24.6,KLEEE,2000,46,Medium (1-5L),South,6,6
SR University,Warangal,Telangana,Private,2018,293.0,A,70,884.0,0.7,391510.5,63330,False,53.3,3.34,19.22,498,2062.3,True,True,False,True,False,True,15.0,Own Entrance,600,8,Medium (1-5L),South,4,4
Sharda University,Greater Noida,Uttar Pradesh,Private,2009,147.0,A+,183,873.0,2.9,385810.0,120677,True,70.6,9.84,29.02,359,1262.8,False,False,True,True,True,False,28.2,Own Entrance,2500,17,Medium (1-5L),North,3,5
GD Goenka University,Gurugram,Haryana,Private,2013,129.0,A,196,351.0,2.3,391510.5,111810,True,56.4,5.59,32.0,212,1262.2,True,False,False,True,True,True,49.2,Own Entrance,800,13,Medium (1-5L),North,4,4
Jain University,Bangalore,Karnataka,Deemed,1990,,A++,67,684.0,4.4,300269.0,119573,False,57.0,8.96,44.06,584,85.6,True,True,True,True,True,True,57.4,SET,3000,36,Medium (1-5L),South,6,6
MS Ramaiah Institute of Technology,Bangalore,Karnataka,Autonomous,1962,54.0,A+,165,833.0,1.7,212676.0,143881,False,68.4,8.22,44.43,589,1847.4,True,True,True,False,True,True,15.4,KCET,1400,64,Medium (1-5L),South,5,5
RV College of Engineering,Bangalore,Karnataka,Autonomous,1963,58.0,A++,140,696.0,2.6,90581.0,35235,True,49.6,4.94,13.23,593,898.4,False,True,True,False,False,True,55.3,KCET,1800,63,Low (<1L),South,3,6
New Horizon College of Engineering,Bangalore,Karnataka,Autonomous,2001,259.0,A,44,98.0,12.2,127708.0,99533,True,59.2,6.37,32.69,384,1116.9,True,True,False,True,False,False,63.5,KCET,1200,25,Medium (1-5L),South,3,4
Dayananda Sagar College of Engineering,Bangalore,Karnataka,Autonomous,1979,110.0,A+,57,276.0,5.4,127708.0,147739,True,64.5,4.92,13.72,580,1335.3,False,True,False,False,True,False,44.6,KCET,1500,47,Medium (1-5L),South,2,5
PES University,Bangalore,Karnataka,Private,1972,,A+,114,914.0,2.7,464144.0,103149,True,56.9,10.57,60.13,491,1577.4,True,True,False,False,False,True,31.4,PESSAT,2500,54,Medium (1-5L),South,3,5
CMR Institute of Technology,Bangalore,Karnataka,Autonomous,2000,175.0,B++,71,1172.0,0.7,127708.0,79992,True,56.9,6.96,28.95,169,1868.2,True,False,True,True,False,False,56.2,KCET,800,26,Medium (1-5L),South,3,3
Woxsen University,Hyderabad,Telangana,Private,2014,,A,62,409.0,1.5,280277.0,57752,True,47.4,5.41,23.23,256,1544.1,True,True,True,True,True,True,19.2,Own Test,600,12,Medium (1-5L),South,6,4
National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,Government,1998,121.0,A++,95,826.0,0.2,74067.0,73036,True,79.2,8.06,36.63,468,425.8,False,False,True,True,True,True,23.3,NIPER JEE,150,28,Low (<1L),North,4,6
Jamia Hamdard,New Delhi,Delhi,Deemed,1989,57.0,A+,144,118.0,8.5,288010.0,126147,True,74.8,4.0,11.06,61,2032.5,False,False,False,True,False,False,41.4,Own Entrance,1000,37,Medium (1-5L),North,1,5
Manipal College of Pharmaceutical Sciences,Manipal,Karnataka,Private,1963,114.0,A+,146,419.0,1.0,735205.0,41869,True,65.7,8.02,38.65,173,1118.3,True,False,False,False,True,False,14.2,MET,400,63,High (>5L),South,2,5
JSS College of Pharmacy,Mysore,Karnataka,Deemed,1980,104.0,A++,195,291.0,1.0,396244.0,89591,True,74.7,3.76,17.93,563,1585.7,False,True,True,True,True,True,20.6,Own Entrance,300,46,Medium (1-5L),South,5,6
Bombay College of Pharmacy,Mumbai,Maharashtra,Government,1957,,A+,62,387.0,0.5,72658.0,51706,True,70.3,10.15,35.35,191,908.7,False,True,False,False,False,True,50.8,MHT CET,200,69,Low (<1L),West,2,5
Indian Agricultural Research Institute,New Delhi,Delhi,Government,1905,,A++,147,448.0,0.7,82193.0,35136,True,85.5,6.47,19.94,445,1500.4,False,True,True,False,True,True,40.3,ICAR AIEEA,300,121,Low (<1L),North,4,6
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,Government,1971,83.0,A+,42,350.0,2.3,59914.0,89437,True,78.7,5.69,21.76,46,509.9,True,True,True,False,False,True,60.5,TNAU Entrance,800,55,Low (<1L),South,4,5
Punjab Agricultural University,Ludhiana,Punjab,Government,1962,124.0,A+,73,958.0,0.6,71557.0,98425,True,74.7,8.37,35.35,523,1974.9,True,True,True,True,True,True,27.9,Own Entrance,600,64,Low (<1L),North,6,5
GB Pant University of Agriculture,Pantnagar,Uttarakhand,Government,1960,56.0,A++,123,1177.0,0.4,62483.0,43970,False,68.6,11.52,39.03,404,1531.6,False,False,True,True,False,True,69.4,JRF,500,66,Low (<1L),North,3,6
Institute of Hotel Management Delhi,New Delhi,Delhi,Government,1962,,A+,56,186.0,1.6,36206.0,43143,True,69.9,9.01,33.2,428,2411.6,False,True,False,True,True,True,2.4,NCHM JEE,300,64,Low (<1L),North,4,5
Institute of Hotel Management Mumbai,Mumbai,Maharashtra,Government,1970,54.0,A+,17,979.0,0.3,93311.0,37531,True,86.8,13.2,62.58,236,2127.2,False,False,False,False,True,True,65.3,NCHM JEE,250,56,Low (<1L),West,2,5
Welcome Group Graduate School of Hotel Administration,Manipal,Karnataka,Private,1986,243.0,A,195,111.0,1.8,309418.0,76285,True,55.1,4.32,13.83,100,2298.3,True,True,True,True,True,True,39.4,MET,200,40,Medium (1-5L),South,6,4
Central University of Rajasthan,Ajmer,Rajasthan,Government,2009,223.0,A,101,578.0,1.0,42676.0,62786,True,60.8,7.83,35.01,499,1705.6,False,True,False,True,True,True,63.0,CUET,600,17,Low (<1L),North,4,4
Central University of Punjab,Bathinda,Punjab,Government,2009,291.0,B++,136,445.0,0.9,31144.0,118302,True,62.5,4.71,20.92,351,887.1,False,True,False,True,True,True,62.8,CUET,400,17,Low (<1L),North,4,3
Central University of Haryana,Mahendragarh,Haryana,Government,2009,247.0,B++,138,166.0,2.1,48478.0,94574,False,58.4,6.82,29.97,410,1553.6,True,False,True,True,True,False,35.5,CUET,350,17,Low (<1L),North,4,3
Central University of Kerala,Kasaragod,Kerala,Government,2009,240.0,A,112,511.0,0.8,12888.0,121520,True,55.5,4.58,11.58,133,817.0,False,False,True,True,True,True,43.7,CUET,400,17,Low (<1L),South,4,4
Central University of Tamil Nadu,Thiruvarur,Tamil Nadu,Government,2009,289.0,B++,157,562.0,0.5,42741.0,119916,True,46.9,3.5,12.06,472,2141.5,True,False,True,False,False,False,15.3,CUET,300,17,Low (<1L),South,2,3
Central University of Gujarat,Gandhinagar,Gujarat,Government,2009,165.0,A,100,1001.0,0.3,8934.0,58241,True,64.4,5.38,25.31,296,905.6,True,True,True,False,True,True,40.1,CUET,350,17,Low (<1L),West,5,4
Central University of Karnataka,Kalaburagi,Karnataka,Government,2009,158.0,B++,176,943.0,0.4,46399.0,48985,False,66.0,8.37,35.35,444,2123.0,False,False,True,True,True,True,6.9,CUET,350,17,Low (<1L),South,4,3
Central University of Jharkhand,Ranchi,Jharkhand,Government,2009,121.0,B+,155,1049.0,0.3,10247.0,57600,True,45.0,3.52,9.59,85,70.8,False,True,True,True,False,True,29.0,CUET,300,17,Low (<1L),East,4,2
Pondicherry University,Puducherry,Puducherry,Government,1985,52.0,A++,84,1187.0,0.7,61771.0,142770,True,86.1,8.37,35.35,591,1114.9,True,True,True,True,True,True,67.9,CUET,800,41,Low (<1L),South,6,6
Tezpur University,Tezpur,Assam,Government,1994,101.0,A,91,1057.0,0.5,23793.0,91498,True,56.1,6.44,27.19,39,1915.8,True,True,False,True,True,True,56.3,CUET,500,32,Low (<1L),Northeast,5,4
North Eastern Hill University,Shillong,Meghalaya,Government,1973,169.0,A,61,220.0,1.8,23656.0,114994,True,71.30000000000001,7.04,27.77,169,727.5,True,True,True,True,True,True,45.3,CUET,400,53,Low (<1L),Northeast,6,4
Mizoram University,Aizawl,Mizoram,Government,2001,149.0,A,29,379.0,0.8,29339.0,90776,True,60.9,3.16,8.79,302,1940.3,True,True,False,False,True,False,6.9,CUET,300,25,Low (<1L),Northeast,3,4
Nagaland University,Zunheboto,Nagaland,Government,1994,113.0,B++,46,1146.0,0.2,25454.0,72344,True,44.8,6.64,33.91,289,1205.7,True,True,True,False,True,False,22.3,CUET,200,32,Low (<1L),Northeast,4,3
Sikkim University,Gangtok,Sikkim,Government,2007,115.0,B++,190,267.0,0.9,44073.0,50315,True,51.1,3.45,10.53,376,2327.5,False,True,True,True,False,True,69.8,CUET,250,19,Low (<1L),Northeast,4,3
Tripura University,Agartala,Tripura,Government,1987,253.0,B++,63,1083.0,0.3,7587.0,93609,True,61.2,5.8,25.52,221,1361.3,True,True,True,True,True,True,24.0,CUET,350,39,Low (<1L),Northeast,6,3
Assam University,Silchar,Assam,Government,1994,,B++,171,395.0,1.0,40321.0,137354,False,51.6,5.62,23.84,319,809.9,True,True,True,True,True,False,45.6,CUET,400,32,Low (<1L),Northeast,5,3
Rajiv Gandhi University,Itanagar,Arunachal Pradesh,Government,1984,,B+,107,204.0,1.2,18679.0,115950,True,54.7,7.45,20.71,455,2056.0,True,True,True,True,True,True,56.0,CUET,250,42,Low (<1L),Northeast,6,2
Hemvati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,Government,1973,268.0,A,41,954.0,0.5,11914.0,130438,True,59.2,4.79,19.67,200,1982.2,False,False,False,False,False,True,39.4,CUET,500,53,Low (<1L),North,1,4
Kumaun University,Nainital,Uttarakhand,Government,1973,104.0,B++,129,1006.0,0.4,29580.0,130362,False,56.5,6.72,25.27,436,5.5,True,True,True,True,True,True,4.4,CUET,400,53,Low (<1L),North,6,3
Gujarat University,Ahmedabad,Gujarat,Government,1949,134.0,A+,138,744.0,2.7,27046.0,104774,True,74.2,14.18,71.89,207,1223.2,True,False,False,True,False,True,63.1,Own Entrance,2000,77,Low (<1L),West,3,5
Osmania University,Hyderabad,Telangana,Government,1918,244.0,A,177,103.0,29.1,12899.0,144004,False,63.1,6.74,36.89,421,140.0,True,False,True,False,True,False,37.7,OUCET,3000,108,Low (<1L),South,3,4
Bangalore University,Bangalore,Karnataka,Government,1964,,A+,36,617.0,4.1,59062.0,40819,True,75.9,12.45,55.01,438,1257.0,False,False,False,False,True,False,54.6,Own Entrance,2500,62,Low (<1L),South,1,5
University of Madras,Chennai,Tamil Nadu,Government,1857,86.0,A++,93,129.0,23.3,70514.0,77876,True,73.0,8.37,35.35,203,2469.2,True,True,True,True,True,True,43.9,Own Entrance,3000,169,Low (<1L),South,6,6
University of Kerala,Thiruvananthapuram,Kerala,Government,1937,,A++,81,1151.0,1.7,17981.0,73499,True,69.8,10.38,33.35,591,1210.2,True,False,False,False,False,True,51.6,Own Entrance,2000,89,Low (<1L),South,2,6
Panjab University,Chandigarh,Chandigarh,Government,1882,78.0,A++,42,817.0,3.7,16092.0,38729,True,73.9,7.71,42.27,49,734.8,True,True,True,True,True,True,62.1,Own Entrance,3000,144,Low (<1L),North,6,6
University of Rajasthan,Jaipur,Rajasthan,Government,1947,134.0,A+,85,1106.0,2.3,61125.0,76580,False,79.4,7.36,43.6,93,1566.4,False,False,True,True,True,False,61.8,Own Entrance,2500,79,Low (<1L),North,3,5
Patna University,Patna,Bihar,Government,1917,275.0,A,129,754.0,2.7,19904.0,84700,True,47.2,3.76,22.17,585,333.8,False,False,True,True,False,True,46.4,Own Entrance,2000,109,Low (<1L),East,3,4
Ranchi University,Ranchi,Jharkhand,Government,1960,,B++,128,701.0,2.1,6932.0,130327,True,49.6,8.37,35.35,310,384.1,False,False,False,True,False,True,14.8,Own Entrance,1500,66,Low (<1L),East,2,3
Lucknow University,Lucknow,Uttar Pradesh,Government,1920,31.0,A+,136,1086.0,2.3,94260.0,91441,False,81.4,8.74,47.92,170,413.6,False,True,False,False,True,True,17.4,Own Entrance,2500,106,Low (<1L),North,3,5
University of Allahabad,Prayagraj,Uttar Pradesh,Government,1887,35.0,A+,149,1178.0,1.7,64856.0,124398,True,72.2,11.12,56.7,69,1304.0,True,True,False,False,False,False,32.7,CUET,2000,139,Low (<1L),North,2,5
Guru Nanak Dev University,Amritsar,Punjab,Government,1969,119.0,A++,38,1005.0,1.5,22149.0,120433,True,76.9,6.42,34.7,542,287.4,True,True,True,True,True,False,55.0,Own Entrance,1500,57,Low (<1L),North,5,6
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,Government,1949,146.0,A++,171,1127.0,2.2,73903.0,113109,False,73.3,10.24,39.37,193,949.8,True,False,True,False,True,True,27.9,Own Entrance,2500,77,Low (<1L),West,4,6
SNDT Womens University,Mumbai,Maharashtra,Government,1916,40.0,A+,75,1090.0,0.9,16600.0,90115,True,76.4,9.99,53.21,252,1474.2,True,True,True,True,True,True,34.3,Own Entrance,1000,110,Low (<1L),West,6,5
Bharathiar University,Coimbatore,Tamil Nadu,Government,1982,77.0,A+,131,443.0,3.4,69651.0,53363,False,68.7,7.84,37.74,398,2329.0,True,True,True,True,False,True,8.3,Own Entrance,1500,44,Low (<1L),South,5,5
Andhra University,Visakhapatnam,Andhra Pradesh,Government,1926,133.0,A,124,668.0,3.0,10745.0,93394,False,61.7,6.02,31.66,354,652.9,True,True,True,True,True,True,41.1,Own Entrance,2000,100,Low (<1L),South,6,4
Sri Venkateswara University,Tirupati,Andhra Pradesh,Government,1954,100.0,A+,191,492.0,3.0,58750.0,75829,True,77.9,11.38,28.9,318,639.8,True,True,False,True,False,True,6.6,Own Entrance,1500,72,Low (<1L),South,4,5
Mysore University,Mysore,Karnataka,Government,1916,136.0,A+,100,1179.0,1.7,19660.0,114626,True,68.1,6.55,26.93,503,1961.1,True,True,True,True,True,True,30.1,Own Entrance,2000,110,Low (<1L),South,6,5
Bharathidasan University,Tiruchirappalli,Tamil Nadu,Government,1982,77.0,A+,196,724.0,1.7,39560.0,108012,True,67.7,12.82,45.88,62,682.4,True,True,True,True,True,True,7.9,Own Entrance,1200,44,Low (<1L),South,6,5
Dibrugarh University,Dibrugarh,Assam,Government,1965,233.0,B++,188,1137.0,0.7,25339.0,131650,True,49.8,6.85,19.48,165,516.9,True,True,False,True,False,True,4.5,Own Entrance,800,61,Low (<1L),Northeast,4,3
Gauhati University,Guwahati,Assam,Government,1948,140.0,A,151,646.0,1.5,25456.0,113735,True,66.8,4.6,14.6,356,1933.1,True,True,True,True,True,True,47.6,Own Entrance,1000,78,Low (<1L),Northeast,6,4
Utkal University,Bhubaneswar,Odisha,Government,1943,106.0,A+,42,183.0,8.2,59399.0,100854,False,75.2,6.3,26.13,422,139.2,True,True,True,True,True,True,31.0,Own Entrance,1500,83,Low (<1L),East,6,5
Berhampur University,Berhampur,Odisha,Government,1967,107.0,B++,194,455.0,1.3,14418.0,142865,True,66.9,4.29,16.18,368,1973.0,False,True,True,False,False,False,62.0,Own Entrance,600,59,Low (<1L),East,2,3
Sambalpur University,Sambalpur,Odisha,Government,1967,223.0,B+,166,900.0,0.6,26356.0,102895,True,59.5,6.96,30.38,453,600.2,False,True,False,True,True,True,18.6,Own Entrance,500,59,Low (<1L),East,4,2
Kalyani University,Kalyani,West Bengal,Government,1960,,A,190,302.0,2.6,11399.0,137744,True,53.4,4.54,17.8,418,821.9,True,False,True,False,True,True,45.9,Own Entrance,800,66,Low (<1L),East,4,4
Visva-Bharati University,Santiniketan,West Bengal,Government,1921,175.0,A,37,785.0,1.3,49535.0,69917,True,67.6,8.37,35.35,38,1530.7,True,False,False,False,False,False,36.7,Own Entrance,1000,105,Low (<1L),East,1,4
Jammu University,Jammu,Jammu & Kashmir,Government,1969,83.0,A+,50,1052.0,1.0,65173.0,83219,True,73.8,10.45,50.36,222,1390.8,True,True,True,True,False,True,59.3,CUET,1000,57,Low (<1L),North,5,5
Kashmir University,Srinagar,Jammu & Kashmir,Government,1948,198.0,A,174,951.0,0.8,32253.0,142741,False,53.7,8.37,35.35,214,1138.7,True,False,True,True,True,True,30.8,CUET,800,78,Low (<1L),North,5,4
