name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Jain University,Bangalore,karnataka,Deemed,1990,,A++,67,684,4.4,300269,119573,False,57.0,8.96,44.06,584,85.6,True,True,True,True,True,True,57.4,SET,3000
MS Ramaiah Institute of Technology,Bangalore,karnataka,Autonomous,1962,54,A+,165,833,1.7,212676,143881,False,68.4,8.22,44.43,589,1847.4,True,True,True,False,True,True,15.4,KCET,1400
RV College of Engineering,Bangalore,Karnataka,Autonomous,1963,58,A++,140,696,2.6,90581,35235,True,49.6,4.94,13.23,593,898.4,False,True,True,False,False,True,55.3,KCET,1800
New Horizon College of Engineering,Bangalore,Karnataka,Autonomous,2001,259,A,44,98,12.2,,99533,True,59.2,6.37,32.69,384,1116.9,True,True,False,True,False,False,63.5,KCET,1200
Dayananda Sagar College of Engineering,Bangalore,Karnataka,Autonomous,1979,110,A+,57,276,5.4,127708,147739,True,64.5,4.92,13.72,580,1335.3,False,True,False,False,True,False,44.6,KCET,1500
PES University,Bangalore,Karnataka,Private,1972,,A+,114,914,2.7,464144,103149,True,56.9,10.57,60.13,491,1577.4,True,True,False,False,False,True,31.4,PESSAT,2500
CMR Institute of Technology,Bangalore,Karnataka,Autonomous,2000,175,B++,71,1172,0.7,,79992,True,56.9,6.96,28.95,169,1868.2,True,False,True,True,False,False,56.2,KCET,800
Woxsen University,Hyderabad,Telangana,Private,2014,,A,62,409,1.5,280277,57752,True,47.4,5.41,23.23,256,1544.1,True,True,True,True,True,True,19.2,Own Test,600
National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,Government,1998,121,A++,95,826,0.2,74067,73036,True,79.2,8.06,36.63,468,425.8,False,False,True,True,True,True,23.3,NIPER JEE,150
Jamia Hamdard,New Delhi,Delhi,Deemed,1989,57,A+,144,118,8.5,288010,126147,True,74.8,4.0,11.06,61,2032.5,False,False,False,True,False,False,41.4,Own Entrance,1000
Manipal College of Pharmaceutical Sciences,Manipal,Karnataka,Private,1963,114,A+,146,419,1.0,735205,41869,True,65.7,8.02,38.65,173,1118.3,True,False,False,False,True,False,14.2,MET,400
JSS College of Pharmacy,Mysore,karnataka,Deemed,1980,104,A++,195,291,1.0,396244,89591,True,74.7,3.76,17.93,563,1585.7,False,True,True,True,True,True,20.6,Own Entrance,300
Bombay College of Pharmacy,Mumbai,Maharashtra,Government,1957,,A+,62,387,0.5,72658,51706,True,70.3,10.15,35.35,191,908.7,False,True,False,False,False,True,50.8,MHT CET,200
Indian Agricultural Research Institute,New Delhi,Delhi,Government,1905,,A++,147,448,0.7,82193,35136,True,85.5,6.47,19.94,445,1500.4,False,True,True,False,True,True,40.3,ICAR AIEEA,300
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,Government,1971,83,A+,42,350,2.3,59914,89437,True,78.7,5.69,21.76,46,509.9,True,True,True,False,False,True,60.5,TNAU Entrance,800
Punjab Agricultural University,Ludhiana,Punjab,Government,1962,124,A+,73,958,0.6,71557,98425,True,74.7,,,523,1974.9,True,True,True,True,True,True,27.9,Own Entrance,600
GB Pant University of Agriculture,Pantnagar,Uttarakhand,Government,1960,56,A++,123,1177,0.4,62483,43970,False,68.6,11.52,39.03,404,1531.6,False,False,True,True,False,True,69.4,JRF,500
Institute of Hotel Management Delhi,New Delhi,Delhi,Government,1962,,A+,56,186,1.6,36206,43143,True,69.9,9.01,33.2,428,2411.6,False,True,False,True,True,True,2.4,NCHM JEE,300
Institute of Hotel Management Mumbai,Mumbai,Maharashtra,Government,1970,54,A+,17,979,0.3,93311,37531,True,86.8,13.2,62.58,236,2127.2,False,False,False,False,True,True,65.3,NCHM JEE,250
Welcome Group Graduate School of Hotel Administration,Manipal,Karnataka,Private,1986,243,A,195,111,1.8,309418,76285,True,55.1,4.32,13.83,100,2298.3,True,True,True,True,True,True,39.4,MET,200
Central University of Rajasthan,Ajmer,Rajasthan,Government,2009,223,A,101,578,1.0,42676,62786,True,60.8,7.83,35.01,499,1705.6,False,True,False,True,True,True,63.0,CUET,600
Central University of Punjab,Bathinda,Punjab,Government,2009,291,B++,136,445,0.9,31144,118302,True,62.5,4.71,20.92,351,887.1,False,True,False,True,True,True,62.8,CUET,400
Central University of Haryana,Mahendragarh,Haryana,Government,2009,247,B++,138,166,2.1,48478,94574,False,58.4,6.82,29.97,410,1553.6,True,False,True,True,True,False,35.5,CUET,350
Central University of Kerala,Kasaragod,Kerala,Government,2009,240,A,112,511,0.8,12888,121520,True,55.5,4.58,11.58,133,817.0,False,False,True,True,True,True,43.7,CUET,400
Central University of Tamil Nadu,Thiruvarur,Tamil Nadu,Government,2009,289,B++,157,562,0.5,42741,119916,True,46.9,3.5,12.06,472,2141.5,True,False,True,False,False,False,15.3,CUET,300
Central University of Gujarat,Gandhinagar,Gujarat,Government,2009,165,A,100,1001,0.3,8934,58241,True,64.4,5.38,25.31,296,905.6,True,True,True,False,True,True,40.1,CUET,350
Central University of Karnataka,Kalaburagi,Karnataka,Government,2009,158,B++,176,943,0.4,46399,48985,False,66.0,,,444,2123.0,False,False,True,True,True,True,6.9,CUET,350
Central University of Jharkhand,Ranchi,Jharkhand,Govt,2009,121,B+,155,1049,0.3,10247,57600,True,45.0,3.52,9.59,85,70.8,False,True,True,True,False,True,29.0,CUET,300
Pondicherry University,Puducherry,Puducherry,Government,1985,52,A++,84,1187,0.7,61771,142770,True,86.1,,,591,1114.9,True,True,True,True,True,True,67.9,CUET,800
Tezpur University,Tezpur,Assam,Government,1994,101,A,91,1057,0.5,23793,91498,True,56.1,6.44,27.19,39,1915.8,True,True,False,True,True,True,56.3,CUET,500
North Eastern Hill University,Shillong,Meghalaya,Government,1973,169,A,61,220,1.8,23656,114994,True,,7.04,27.77,169,727.5,True,True,True,True,True,True,45.3,CUET,400
Mizoram University,Aizawl,Mizoram,Government,2001,149,A,29,379,0.8,29339,90776,True,60.9,3.16,8.79,302,1940.3,True,True,False,False,True,False,6.9,CUET,300
Nagaland University,Zunheboto,Nagaland,Government,1994,113,B++,46,1146,0.2,25454,72344,True,44.8,6.64,33.91,289,1205.7,True,True,True,False,True,False,22.3,CUET,200
Sikkim University,Gangtok,Sikkim,Government,2007,115,B++,190,267,0.9,44073,50315,True,51.1,3.45,10.53,376,2327.5,False,True,True,True,False,True,69.8,CUET,250
Tripura University,Agartala,Tripura,Government,1987,253,B++,63,1083,0.3,7587,93609,True,61.2,5.8,25.52,221,1361.3,True,True,True,True,True,True,24.0,CUET,350
Assam University,Silchar,Assam,Government,1994,,B++,171,395,1.0,40321,137354,False,51.6,5.62,23.84,319,809.9,True,True,True,True,True,False,45.6,CUET,400
Rajiv Gandhi University,Itanagar,Arunachal Pradesh,Government,1984,,B+,107,204,1.2,18679,115950,True,54.7,7.45,20.71,455,2056.0,True,True,True,True,True,True,56.0,CUET,250
Hemvati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,Government,1973,268,A,41,954,0.5,11914,130438,True,59.2,4.79,19.67,200,1982.2,False,False,False,False,False,True,39.4,CUET,500
Kumaun University,Nainital,Uttarakhand,Government,1973,104,B++,129,1006,0.4,29580,130362,False,56.5,6.72,25.27,436,5.5,True,True,True,True,True,True,4.4,CUET,400
Gujarat University,Ahmedabad,Gujarat,Government,1949,134,A+,138,744,2.7,27046,104774,True,74.2,14.18,71.89,207,1223.2,True,False,False,True,False,True,63.1,Own Entrance,2000
Osmania University,Hyderabad,Telangana,Government,1918,244,A,177,103,29.1,12899,144004,False,63.1,6.74,36.89,421,140.0,True,False,True,False,True,False,37.7,OUCET,3000
Bangalore University,Bangalore,Karnataka,Government,1964,,A+,36,617,4.1,59062,40819,True,75.9,12.45,55.01,438,1257.0,False,False,False,False,True,False,54.6,Own Entrance,2500
University of Madras,Chennai,Tamil Nadu,Government,1857,86,A++,93,129,23.3,70514,77876,True,73.0,,,203,2469.2,True,True,True,True,True,True,43.9,Own Entrance,3000
University of Kerala,Thiruvananthapuram,Kerala,Government,1937,,A++,81,1151,1.7,17981,73499,True,69.8,10.38,33.35,591,1210.2,True,False,False,False,False,True,51.6,Own Entrance,2000
Panjab University,Chandigarh,Chandigarh,Government,1882,78,A++,42,817,3.7,16092,38729,True,73.9,7.71,42.27,49,734.8,True,True,True,True,True,True,62.1,Own Entrance,3000
University of Rajasthan,Jaipur,Rajasthan,Government,1947,134,A+,85,1106,2.3,61125,76580,False,79.4,7.36,43.6,93,1566.4,False,False,True,True,True,False,61.8,Own Entrance,2500
Patna University,Patna,Bihar,Government,1917,275,A,129,754,2.7,19904,84700,True,47.2,3.76,22.17,585,333.8,False,False,True,True,False,True,46.4,Own Entrance,2000
Ranchi University,Ranchi,Jharkhand,Government,1960,,B++,128,701,2.1,6932,130327,True,49.6,,,310,384.1,False,False,False,True,False,True,14.8,Own Entrance,1500
Lucknow University,Lucknow,Uttar Pradesh,Government,1920,31,A+,136,1086,2.3,94260,91441,False,81.4,8.74,47.92,170,413.6,False,True,False,False,True,True,17.4,Own Entrance,2500
University of Allahabad,Prayagraj,Uttar Pradesh,Government,1887,35,A+,149,1178,1.7,64856,124398,True,72.2,11.12,56.7,69,1304.0,True,True,False,False,False,False,32.7,CUET,2000
Guru Nanak Dev University,Amritsar,Punjab,Government,1969,119,A++,38,1005,1.5,22149,120433,True,76.9,6.42,34.7,542,287.4,True,True,True,True,True,False,55.0,Own Entrance,1500
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,Government,1949,146,A++,171,1127,2.2,73903,113109,False,73.3,10.24,39.37,193,949.8,True,False,True,False,True,True,27.9,Own Entrance,2500
SNDT Womens University,Mumbai,Maharashtra,Government,1916,40,A+,75,1090,0.9,16600,90115,True,76.4,9.99,53.21,252,1474.2,True,True,True,True,True,True,34.3,Own Entrance,1000
Bharathiar University,Coimbatore,Tamil Nadu,Government,1982,77,A+,131,443,3.4,69651,53363,False,68.7,7.84,37.74,398,2329.0,True,True,True,True,False,True,8.3,Own Entrance,1500
Andhra University,Visakhapatnam,Andhra Pradesh,Government,1926,133,A,124,668,3.0,10745,93394,False,61.7,6.02,31.66,354,652.9,True,True,True,True,True,True,41.1,Own Entrance,2000
Sri Venkateswara University,Tirupati,Andhra Pradesh,Government,1954,100,A+,191,492,3.0,58750,75829,True,77.9,11.38,28.9,318,639.8,True,True,False,True,False,True,6.6,Own Entrance,1500
Mysore University,Mysore,Karnataka,Government,1916,136,A+,100,1179,1.7,19660,114626,True,68.1,6.55,26.93,503,1961.1,True,True,True,True,True,True,30.1,Own Entrance,2000
Bharathidasan University,Tiruchirappalli,Tamil Nadu,Government,1982,77,A+,196,724,1.7,39560,108012,True,67.7,12.82,45.88,62,682.4,True,True,True,True,True,True,7.9,Own Entrance,1200
Dibrugarh University,Dibrugarh,Assam,Government,1965,233,B++,188,1137,0.7,25339,131650,True,49.8,6.85,19.48,165,516.9,True,True,False,True,False,True,4.5,Own Entrance,800
Gauhati University,Guwahati,Assam,Government,1948,140,A,151,646,1.5,25456,113735,True,66.8,4.6,14.6,356,1933.1,True,True,True,True,True,True,47.6,Own Entrance,1000
Utkal University,Bhubaneswar,Odisha,Government,1943,106,A+,42,183,8.2,59399,100854,False,75.2,6.3,26.13,422,139.2,True,True,True,True,True,True,31.0,Own Entrance,1500
Berhampur University,Berhampur,Odisha,Government,1967,107,B++,194,455,1.3,14418,142865,True,66.9,4.29,16.18,368,1973.0,False,True,True,False,False,False,62.0,Own Entrance,600
Sambalpur University,Sambalpur,Odisha,Government,1967,223,B+,166,900,0.6,26356,102895,True,59.5,6.96,30.38,453,600.2,False,True,False,True,True,True,18.6,Own Entrance,500
Kalyani University,Kalyani,West Bengal,Government,1960,,A,190,302,2.6,11399,137744,True,53.4,4.54,17.8,418,821.9,True,False,True,False,True,True,45.9,Own Entrance,800
Visva-Bharati University,Santiniketan,West Bengal,Government,1921,175,A,37,785,1.3,49535,69917,True,67.6,,,38,1530.7,True,False,False,False,False,False,36.7,Own Entrance,1000
Jammu University,Jammu,Jammu & Kashmir,Government,1969,83,A+,50,1052,1.0,65173,83219,True,73.8,10.45,50.36,222,1390.8,True,True,True,True,False,True,59.3,CUET,1000
Kashmir University,Srinagar,Jammu & Kashmir,Government,1948,198,A,174,951,0.8,32253,142741,False,53.7,,,214,1138.7,True,False,True,True,True,True,30.8,CUET,800
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Government,1958,61,A++,86,1158,0.9,91056,93115,False,87.1,5.8,29.32,506,1294.8,True,True,True,True,False,True,37.6,JEE Advanced,1000
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1959,67,A++,30,613,1.5,,51955,True,65.8,14.23,72.9,514,1447.5,True,True,True,True,True,True,41.0,JEE Advanced,950
